epoch,train_loss,valid_loss,accuracy,precision_score,recall_score,f1_score,time
0,1.3936283588409424,1.180465579032898,0.4166948199272156,0.37473961029423114,0.4227426680701783,0.3073355414997399,00:58
1,1.2901870012283325,1.156080722808838,0.4254815876483917,0.374912242373105,0.4262274556321673,0.31075078247417603,00:58
2,1.2038792371749878,1.1423287391662598,0.43899965286254883,0.3736472277236033,0.41745626886891585,0.31483914266376284,00:56
3,1.1035678386688232,1.1812399625778198,0.4633322060108185,0.3779723792198395,0.42413345725944734,0.32693656345537564,00:56
4,1.0775460004806519,1.15019690990448,0.477864146232605,0.3727776400023566,0.41474396638769456,0.32596218512093716,00:56
5,0.9639869332313538,1.1653625965118408,0.5045623779296875,0.37993364523207657,0.4218589101653325,0.3430503073489993,00:55
6,0.8755910992622375,1.1915770769119263,0.4950996935367584,0.3873245376034147,0.4424591697826979,0.34610640042211643,00:56
7,0.7814736366271973,1.2169883251190186,0.49983102083206177,0.3802089675898516,0.4249832808169896,0.34112494534213694,00:56
8,0.7224981188774109,1.2877596616744995,0.5603244304656982,0.3786275004433055,0.41976471570698903,0.3573019406932671,00:55
9,0.6354233026504517,1.353761076927185,0.5620142221450806,0.38085457987267973,0.422969619877638,0.36034636123656066,00:56
10,0.5843170881271362,1.4581048488616943,0.582291305065155,0.37222786107361033,0.4029592665567203,0.356715872435765,00:57
11,0.5034968256950378,1.5417273044586182,0.6079756617546082,0.3808089480171623,0.41945458899184535,0.3720307596112256,00:56
12,0.4534544050693512,1.6313945055007935,0.6228455305099487,0.3788784926137054,0.41535033234206287,0.3729300477959266,00:58
13,0.40067780017852783,1.6968321800231934,0.6465021967887878,0.3734572407443748,0.4025510624265112,0.3710691468686697,00:56
14,0.3705727458000183,1.754150629043579,0.6637377738952637,0.3835645094839981,0.4118461553722501,0.38458086882584314,00:56
15,0.3506550192832947,1.7776628732681274,0.6569787263870239,0.3809877143933668,0.4114876762492557,0.38164680723088457,00:56
16,0.3264373540878296,1.8704960346221924,0.6813112497329712,0.37484738413165036,0.39511348859162315,0.3769298512490235,00:56
17,0.303946852684021,1.8816362619400024,0.6887462139129639,0.37663515342328385,0.39581523290012255,0.3794552855655688,00:55
