epoch,train_loss,valid_loss,accuracy,precision_score,recall_score,f1_score,time
0,0.573218822479248,0.5603657960891724,0.8354512453079224,0.3809201213346815,0.34011727443930834,0.32025835103095807,10:40
1,0.5590794682502747,0.5390799641609192,0.8386818766593933,0.42515841646276425,0.33953946242081834,0.3175945501526897,10:40
2,0.5287298560142517,0.7049970626831055,0.733792781829834,0.3532313048738201,0.4014937510700222,0.367813676257635,10:39
3,0.5457133054733276,0.5374979376792908,0.8391126394271851,0.5297298268304951,0.3353663756206129,0.30835418662953284,10:39
4,0.5243504643440247,0.6210353970527649,0.8386818766593933,0.27956062890372607,0.3333333333333333,0.3040880871500527,10:37
5,0.5242565870285034,0.5664480328559875,0.8386818766593933,0.27956062890372607,0.3333333333333333,0.3040880871500527,10:37
